#,year_fund,month_fund,dealership_id,counts,engagement
1,2021,10,3673,88,E10
2,2021,10,1263,36,E10
3,2021,10,3027,34,E10
4,2021,10,2937,32,E10
5,2021,10,3611,31,E10
6,2021,10,759,30,E10
7,2021,10,3552,29,E10
8,2021,10,2968,26,E10
9,2021,10,1262,26,E10
10,2021,10,854,26,E10
11,2021,10,1749,26,E10
12,2021,10,939,25,E10
13,2021,10,3227,25,E10
14,2021,10,115,24,E10
15,2021,10,7868,24,E10
16,2021,10,3985,23,E10
17,2021,10,1333,22,E10
18,2021,10,425,22,E10
19,2021,10,1670,21,E10
20,2021,10,5481,20,E10
21,2021,10,838,20,E10
22,2021,10,20392,20,E10
23,2021,10,1668,20,E10
24,2021,10,20037,19,E10
25,2021,10,4267,19,E10
26,2021,10,1099,19,E10
27,2021,10,23,19,E10
28,2021,10,2363,19,E10
29,2021,10,3713,19,E10
30,2021,10,7979,18,E10
31,2021,10,1250,18,E10
32,2021,10,19622,17,E10
33,2021,10,2955,17,E10
34,2021,10,2585,17,E10
35,2021,10,2800,17,E10
36,2021,10,1318,16,E10
37,2021,10,2698,16,E10
38,2021,10,3210,16,E10
39,2021,10,34,16,E10
40,2021,10,4417,16,E10
41,2021,10,1024,16,E10
42,2021,10,4909,15,E10
43,2021,10,1901,15,E10
44,2021,10,1384,15,E10
45,2021,10,3324,15,E10
46,2021,10,2558,15,E10
47,2021,10,986,15,E10
48,2021,10,12905,14,E10
49,2021,10,5190,14,E10
50,2021,10,2108,14,E10
51,2021,10,3141,14,E10
52,2021,10,3501,14,E10
53,2021,10,83,13,E10
54,2021,10,20009,13,E10
55,2021,10,1057,13,E10
56,2021,10,4,13,E10
57,2021,10,1181,13,E10
58,2021,10,3596,13,E10
59,2021,10,1470,13,E10
60,2021,10,170,13,E10
61,2021,10,10360,13,E10
62,2021,10,27,13,E10
63,2021,10,4343,13,E10
64,2021,10,3930,13,E10
65,2021,10,6160,12,E10
66,2021,10,19959,12,E10
67,2021,10,1172,12,E10
68,2021,10,6329,12,E10
69,2021,10,2242,12,E10
70,2021,10,18768,11,E10
71,2021,10,6472,11,E10
72,2021,10,6561,11,E10
73,2021,10,1862,11,E10
74,2021,10,5491,11,E10
75,2021,10,1973,11,E10
76,2021,10,552,11,E10
77,2021,10,740,11,E10
78,2021,10,8510,11,E10
79,2021,10,8644,11,E10
80,2021,10,20053,11,E10
81,2021,10,3090,11,E10
82,2021,10,920,10,E10
83,2021,10,1860,10,E10
84,2021,10,10,10,E10
85,2021,10,1013,10,E10
86,2021,10,8003,10,E10
87,2021,10,816,10,E10
88,2021,10,1145,10,E10
89,2021,10,4407,10,E10
90,2021,10,18,10,E10
91,2021,10,3313,10,E10
92,2021,10,2656,10,E10
93,2021,10,5114,10,E10
94,2021,10,4014,10,E10
95,2021,10,1330,10,E10
96,2021,10,1449,10,E10
97,2021,10,60,10,E10
98,2021,10,692,10,E10
99,2021,10,7980,10,E10
100,2021,10,8008,10,E10
101,2021,10,4706,10,E10
102,2021,10,2606,10,E10
103,2021,10,771,10,E10
104,2021,10,1497,10,E10
105,2021,10,987,9,E5
106,2021,10,1930,9,E5
107,2021,10,189,9,E5
108,2021,10,931,9,E5
109,2021,10,13611,9,E5
110,2021,10,1324,9,E5
111,2021,10,3779,9,E5
112,2021,10,2477,9,E5
113,2021,10,19985,9,E5
114,2021,10,4163,9,E5
115,2021,10,1203,9,E5
116,2021,10,2935,9,E5
117,2021,10,2923,9,E5
118,2021,10,2841,9,E5
119,2021,10,4449,9,E5
120,2021,10,1149,8,E5
121,2021,10,8631,8,E5
122,2021,10,14297,8,E5
123,2021,10,,8,E5
124,2021,10,261,8,E5
125,2021,10,4409,8,E5
126,2021,10,1597,8,E5
127,2021,10,2518,8,E5
128,2021,10,4255,8,E5
129,2021,10,6556,8,E5
130,2021,10,2716,8,E5
131,2021,10,3249,8,E5
132,2021,10,3783,8,E5
133,2021,10,2661,8,E5
134,2021,10,3907,8,E5
135,2021,10,20016,8,E5
136,2021,10,6872,8,E5
137,2021,10,907,8,E5
138,2021,10,13086,8,E5
139,2021,10,362,8,E5
140,2021,10,719,8,E5
141,2021,10,1327,8,E5
142,2021,10,3056,8,E5
143,2021,10,5723,8,E5
144,2021,10,1903,8,E5
145,2021,10,3569,8,E5
146,2021,10,5761,8,E5
147,2021,10,5066,8,E5
148,2021,10,42,7,E5
149,2021,10,4893,7,E5
150,2021,10,879,7,E5
151,2021,10,762,7,E5
152,2021,10,1732,7,E5
153,2021,10,2570,7,E5
154,2021,10,1617,7,E5
155,2021,10,2035,7,E5
156,2021,10,2090,7,E5
157,2021,10,3747,7,E5
158,2021,10,5889,7,E5
159,2021,10,20921,7,E5
160,2021,10,2516,7,E5
161,2021,10,1628,7,E5
162,2021,10,20724,7,E5
163,2021,10,680,7,E5
164,2021,10,20820,7,E5
165,2021,10,2623,7,E5
166,2021,10,3855,7,E5
167,2021,10,112,7,E5
168,2021,10,4589,7,E5
169,2021,10,4563,7,E5
170,2021,10,13163,7,E5
171,2021,10,9602,7,E5
172,2021,10,133,7,E5
173,2021,10,14,7,E5
174,2021,10,2610,7,E5
175,2021,10,1660,7,E5
176,2021,10,2425,7,E5
177,2021,10,3108,7,E5
178,2021,10,1871,7,E5
179,2021,10,14614,7,E5
180,2021,10,3891,6,E5
181,2021,10,4962,6,E5
182,2021,10,14609,6,E5
183,2021,10,5752,6,E5
184,2021,10,355,6,E5
185,2021,10,2486,6,E5
186,2021,10,13635,6,E5
187,2021,10,20953,6,E5
188,2021,10,3709,6,E5
189,2021,10,2855,6,E5
190,2021,10,717,6,E5
191,2021,10,3314,6,E5
192,2021,10,4274,6,E5
193,2021,10,8558,6,E5
194,2021,10,3007,6,E5
195,2021,10,20006,6,E5
196,2021,10,20292,6,E5
197,2021,10,1088,6,E5
198,2021,10,15,6,E5
199,2021,10,663,6,E5
200,2021,10,2097,6,E5
201,2021,10,19887,6,E5
202,2021,10,4116,6,E5
203,2021,10,3431,6,E5
204,2021,10,1307,6,E5
205,2021,10,4508,6,E5
206,2021,10,159,6,E5
207,2021,10,20058,6,E5
208,2021,10,18922,6,E5
209,2021,10,5030,6,E5
210,2021,10,567,6,E5
211,2021,10,1633,6,E5
212,2021,10,4171,6,E5
213,2021,10,3319,6,E5
214,2021,10,102,6,E5
215,2021,10,2631,6,E5
216,2021,10,19282,6,E5
217,2021,10,187,6,E5
218,2021,10,1997,6,E5
219,2021,10,3936,6,E5
220,2021,10,5621,6,E5
221,2021,10,561,6,E5
222,2021,10,4176,6,E5
223,2021,10,20857,6,E5
224,2021,10,2469,6,E5
225,2021,10,1254,6,E5
226,2021,10,506,6,E5
227,2021,10,12909,6,E5
228,2021,10,3326,6,E5
229,2021,10,4194,6,E5
230,2021,10,1795,5,E5
231,2021,10,3538,5,E5
232,2021,10,3778,5,E5
233,2021,10,1473,5,E5
