#,dealership_id,name,state,zipcode,type,rsm_id,rsm_first_name
1,1,Octane Lending,NY,10018,independent,4764,Kevin
2,2,Five Star Powersports,PA,16635,oem_franchise_partnered,4764,Kevin
3,3,PBO Auto Sales,AZ,85040,oem_franchise_partnered,8331,Brandon
4,4,Byron Powersports,GA,31008,oem_franchise_partnered,5848,Chris
5,5,California Boss hoss,CA,90710,independent,11499,Matt
6,6,Sawgie Bottom - Alexandria (Closed),LA,71301,independent,4613,Jay
7,7,Martin Riley,VA,22405,independent,4613,Jay
8,8,Aleks,PA,16505,oem_franchise_partnered,4764,Kevin
9,9,Lima,OH,45806,oem_franchise_partnered,4764,Kevin
10,10,All Out,VA,23320,oem_franchise_partnered,4613,Jay
11,11,#1 Cycle Center,PA,16828,oem_franchise_partnered,4764,Kevin
12,12,Orion Powersports,TX,76049,oem_franchise_partnered,3674,Diana
13,13,Mosites,PA,15137,oem_franchise_partnered,4764,Kevin
14,14,Ultimate Cycle Superstore,VA,23139,oem_franchise_partnered,4613,Jay
15,15,Romney Cycle Center,WV,26757,oem_franchise_partnered,4613,Jay
16,16,Pacific Motorsports,CA,90710,oem_franchise_partnered,11499,Matt
17,18,RIDENOW AUSTIN,TX,78753,oem_franchise_partnered,3674,Diana
18,19,Doug's Outdoor Power - Blue Springs,MO,64015,oem_franchise_partnered,8331,Brandon
19,20,Huals Motorsports,FL,32533,independent,5848,Chris
20,22,Smokey Point Cycle Barn,WA,98271,oem_franchise_partnered,11499,Matt
21,23,Family Powersports Lubbock,TX,79407,oem_franchise_partnered,3674,Diana
22,24,Texas Motor Sports,TX,76548,oem_franchise_partnered,3674,Diana
23,25,Arlington Motorsports (IL),IL,60004,oem_franchise_partnered,4764,Kevin
24,26,OUTDOOR POWER PRODUCTS OF TYLER,TX,75703,oem_franchise_partnered,3674,Diana
25,27,Freedom Powersports - Weatherford,TX,76087,oem_franchise_partnered,3674,Diana
26,28,(Disabled) Houston Motorsports,TX,77070,oem_franchise_partnered,3674,Diana
27,29,Blockers,PA,18235,oem_franchise_partnered,4764,Kevin
28,30,Fredericksburg Motor Sports,VA,22405,oem_franchise_partnered,4613,Jay
29,31,High Five Powersports,TX,75243,independent,3674,Diana
30,32,Scooters powersports,MO,64507,independent,8331,Brandon
31,33,OC Motorcycle and ATV Logan Ave,CA,92626,independent,11499,Matt
32,34,Mountain Motorsports - Marietta,GA,30060,oem_franchise_partnered,5848,Chris
33,35,Lem's Auto Sales,NC,28152,oem_franchise_partnered,5848,Chris
34,36,J&J TX,TX,77613,independent,3674,Diana
35,37,(Disabled) Play N Around Motorsports,TX,77356,oem_franchise_partnered,3674,Diana
36,38,(Disabled) Team X-TREME Southwest Houston,TX,77057,oem_franchise_partnered,3674,Diana
37,39,Colbert,WA,99218,oem_franchise_partnered,11499,Matt
38,41,MidSouth Wholesalers,MS,38372,independent,4613,Jay
39,42,Mountain Motorsports - Roswell,GA,30076,oem_franchise_partnered,5848,Chris
40,43,Mountain Motorsports - Mall of Georgia,GA,30518,oem_franchise_partnered,5848,Chris
41,45,Mountain Motorsports - Conyers,GA,30094,oem_franchise_partnered,5848,Chris
42,46,Mountain Motorsports - Kennesaw,GA,30152,oem_franchise_partnered,5848,Chris
43,47,DOWDLE MOTOR SALES,TX,75706,oem_franchise_partnered,3674,Diana
44,48,Mcfadden Motorsports,CA,91786,independent,11499,Matt
45,50,Moto United - Bellflower50,CA,90706,oem_franchise_partnered,11499,Matt
46,51,HUNTER POWER SPORTS,NC,28791,oem_franchise_partnered,5848,Chris
47,52,Roeder Racing & Service,OH,44847,independent,4764,Kevin
48,53,Big Tex Tractor Co. - Caddo Mills,TX,75135,oem_franchise_partnered,3674,Diana
49,54,Munn Racing,TX,76640,oem_franchise_partnered,3674,Diana
50,55,High Plains,OK,73703,independent,3674,Diana
51,56,Lone Star Yamaha Irving,TX,75062,oem_franchise_partnered,3674,Diana
52,57,Cycle Den,PA,17512,independent,4764,Kevin
53,58,Southeast Harley,OH,44146,independent,4764,Kevin
54,59,Macs,WV,25053,oem_franchise_partnered,4613,Jay
55,60,Rocky Mountain Cycle Plaza - Colorado Springs,CO,80909,oem_franchise_partnered,8331,Brandon
56,61,Reeds,TX,76053,independent,3674,Diana
57,62,Tesch,FL,33950,independent,5848,Chris
58,63,Unique Rides,CO,80537,oem_franchise_partnered,8331,Brandon
59,64,MOTORANGUTAN,TX,78704,independent,3674,Diana
60,65,CROSSROADS MOTORSPORTS,IN,47905,oem_franchise_partnered,4764,Kevin
61,66,Crestview,FL,32536,independent,5848,Chris
62,67,Shenandoah HD,VA,24401,oem_franchise_partnered,4613,Jay
63,68,Dream Machines of Texas,TX,75234,independent,3674,Diana
64,70,Pony Powersports - Westerville,OH,43081,oem_franchise_partnered,4764,Kevin
65,71,Cycle Specialties - Fairfield,OH,45014,oem_franchise_partnered,4764,Kevin
66,72,Cycle Specialties - Cincinnati,OH,45247,oem_franchise_partnered,4764,Kevin
67,73,LIGHTSPEED MOTORSPORTS LLC,LA,70737,oem_franchise_partnered,4613,Jay
68,74,highway 76,OK,73010,independent,3674,Diana
69,75,Russ's Power Sports,NE,68803,oem_franchise_partnered,8331,Brandon
70,76,HD Atlanta,GA,30122,oem_franchise_partnered,5848,Chris
71,77,(Disabled) B2B Truck Sales (UTVs),CA,95351,oem_franchise_partnered,11499,Matt
